player,singles,doubles,triples,homeruns,strikes
stott001,9,4,1,0,1
henrd001,1,0,0,0,1
tubbg001,10,0,0,1,10
henrd002,1,0,0,0,2
diaza001,57,14,7,3,27
candc001,100,21,7,4,56
ray-j001,87,23,0,5,47
philj001,33,10,1,9,74
byrdt001,0,1,0,0,0
rodrt001,16,1,0,1,9
waltj001,27,15,1,8,25
crewt001,2,0,0,0,1
rincr001,0,0,0,0,1
pichh001,0,0,0,0,2
diazm002,17,3,2,1,14
priee001,0,0,0,0,2
royes001,5,1,0,1,2
bonib001,111,38,8,28,80
selea001,0,1,0,0,1
brusj001,0,1,0,0,1
belis001,1,1,0,0,5
motaa001,14,2,0,1,18
miend001,4,1,3,2,3
sciom001,71,16,2,8,36
mcnib001,0,0,0,0,1
bichd001,131,38,2,40,99
javis001,105,20,2,8,64
ausmb001,73,16,4,5,61
fermf001,36,6,2,1,6
mcelc001,2,1,1,0,3
olivd001,1,2,0,0,1
pught001,2,2,0,0,12
encaj001,5,1,1,1,12
gleaj001,0,0,0,0,1
speij001,1,0,0,0,2
sward001,0,0,0,0,1
smilj001,7,1,0,2,26
rigbb001,0,0,0,0,2
olivj002,14,5,0,7,47
olivj001,68,20,1,12,66
bourr001,59,9,1,1,23
moram001,98,34,7,6,83
moram002,5,1,0,0,7
zaung001,20,5,2,3,14
bautd001,42,9,2,7,68
borlt001,1,0,0,0,1
koslk001,1,1,2,1,1
jordb001,101,20,4,22,81
delej001,2,0,1,0,17
johnd003,2,0,0,0,1
ruscg001,1,0,0,0,2
carta001,1,0,0,0,3
mashd001,58,10,2,3,82
howas001,8,4,0,0,17
richj001,1,2,0,0,3
agosj001,1,0,0,0,2
meyeb001,0,0,0,0,1
howej002,42,5,1,8,47
mcdob001,0,0,0,0,1
rodri001,105,32,2,12,49
voigj001,8,3,2,2,14
paquc001,41,14,1,13,89
lee-m001,1,18,3,2,110
olivf001,3,0,0,0,4
lavam001,23,6,2,1,15
gantj001,119,27,4,2,40
delol001,4,2,0,0,5
evand002,61,9,1,6,54
cookd001,4,1,0,1,1
andes001,0,0,0,0,3
backw001,36,13,3,2,31
liebj001,1,2,0,0,14
obrip001,100,29,3,17,68
lewij002,0,0,0,0,1
mejir001,7,1,1,1,18
mater001,16,9,1,5,29
brooh001,69,12,1,16,68
hulsd001,67,12,6,3,62
piazm001,106,17,1,32,80
higgk001,38,4,1,0,18
rhoda001,1,0,0,0,1
woodj001,7,2,0,1,5
winnh001,33,6,1,1,42
colll001,6,13,6,2,11
guetl001,0,1,0,0,2
salkr001,1,0,0,0,21
holbr001,9,2,1,2,21
peret002,13,6,1,0,18
stilk001,83,19,1,6,59
kingj001,80,27,2,18,68
belte001,13,8,0,1,16
kippb001,1,0,0,0,2
treva001,15,5,0,1,12
gonza001,61,19,4,10,115
roa-j001,3,0,0,0,5
gonza002,9,2,8,3,30
greis001,1,0,0,0,0
lovut001,7,2,0,2,7
robid001,5,1,0,2,13
munoj001,8,0,0,0,1
erstd001,116,34,4,16,94
witmr001,2,0,0,0,5
vered001,1,1,0,0,4
pattk001,0,0,0,0,1
parkd001,85,26,2,11,98
stana001,8,1,1,1,19
bailc001,1,0,0,0,0
fox-e001,1,2,2,1,4
rekab001,1,1,0,0,15
jorgt001,26,7,0,1,22
fernt001,67,20,2,5,40
palav001,1,0,0,0,4
leacr001,42,13,0,2,24
beanb002,27,5,1,5,4
pritc001,20,2,1,2,16
thond001,106,18,4,9,85
boggw001,126,22,4,5,53
helmw001,3,1,0,1,6
boroj001,0,0,0,0,2
cordm001,91,27,4,24,114
smalm001,0,0,0,0,1
kowib001,4,1,0,0,5
willk001,16,7,2,1,27
willk002,5,0,0,0,6
mcclp001,4,0,0,0,3
steit001,76,26,1,15,78
perrp001,0,0,0,0,1
readr001,4,10,1,1,6
valdp001,3,1,1,0,3
niedd001,4,0,0,0,15
martr002,8,4,1,1,19
martr003,5,1,0,5,3
burkj001,6,1,0,0,24
burkj002,3,0,0,0,7
nilsd001,51,12,1,12,41
mercl001,9,2,1,0,9
johnh001,27,4,1,7,47
cordf001,5,1,1,0,26
poweb001,0,0,0,0,1
sandd001,68,11,8,6,60
garrw001,0,1,0,0,0
russj002,4,1,0,1,7
anthe001,34,6,2,5,31
martf001,5,1,1,0,9
thurg001,6,2,2,2,3
monts001,1,0,0,0,0
gonzj001,9,2,1,2,43
gonzj002,61,20,2,27,66
gonzj003,4,1,0,0,12
murrc001,3,2,0,0,4
kellp001,49,12,1,4,65
reyea001,1,0,0,0,4
gaetg001,82,27,1,35,94
fabrj001,49,10,1,1,29
wallt001,75,22,2,9,75
tracs001,11,2,0,1,17
berkl001,18,2,0,4,21
moyej001,1,0,0,0,4
lodup001,3,1,0,3,1
hudlr001,38,16,2,6,48
brows002,0,0,0,0,1
wilsm001,43,12,4,2,37
powej001,2,0,0,0,1
boevj001,1,0,0,0,1
krukj001,41,7,6,2,33
brewj001,5,0,0,0,7
chamw001,3,1,3,1,11
grosk001,6,1,0,1,14
grosk002,2,0,0,0,6
muelb001,86,26,3,7,75
mackq001,2,3,0,0,3
holld002,3,0,0,0,3
holld001,31,13,2,7,46
waltd001,17,3,1,1,14
roqur001,1,0,0,0,6
rohrd001,4,0,0,0,4
costt001,14,5,0,3,17
drabd001,12,3,1,1,17
smitm004,16,5,1,3,22
fajah001,0,0,0,0,1
manrf001,3,10,0,5,1
machr001,2,6,1,3,7
panij001,0,0,0,0,3
powea001,15,6,1,3,24
manzr001,1,1,0,0,1
hereg001,6,1,0,0,3
roesm001,0,0,0,0,1
burna001,2,0,0,0,10
lewim001,45,13,1,3,33
bellr001,40,2,1,1,28
bellr002,1,30,4,8,61
wohlm001,1,0,0,0,3
clapc001,11,1,2,0,12
cleme001,5,10,1,8,8
beecm001,4,1,0,0,14
tolif001,0,0,0,0,1
cangj001,57,5,2,2,44
yoshm001,3,1,0,0,27
wengd001,0,0,0,0,3
rente001,164,22,3,4,120
kingm001,73,18,4,8,43
munob001,2,1,0,1,2
hackl001,1,0,0,0,3
cox-s001,3,1,0,0,2
baldj001,0,0,0,0,2
baldj002,0,0,1,0,2
merll001,20,6,0,1,21
posaj001,39,12,2,6,34
